no,IP address,CVE ID,vulnerability title,vulnerability description,cvss score,cvss severity,solution,reference
1,172.16.41.168,CVE-2017-4613,CVE-2017-4613,N/A,N/A,N/A,Update to latest version,
2,172.16.41.251,CVE-2024-10739,code-projects E-Health Care System adminlogin.php sql injection,"A vulnerability, which was classified as critical, has been found in code-projects E-Health Care System 1.0. Affected by this issue is some unknown functionality of the file /Admin/adminlogin.php. ...",7.3,HIGH,Update to latest version,https://vuldb.com/?id.282908
3,172.16.41.119,CVE-2016-1686,CVE-2016-1686,"The CPDF_DIBSource::CreateDecoder function in core/fpdfapi/fpdf_render/fpdf_render_loadimage.cpp in PDFium, as used in Google Chrome before 51.0.2704.63, mishandles decoder-initialization failure, ...",N/A,N/A,Update to latest version,http://www.securityfocus.com/bid/90876
4,10.10.10.250,CVE-2022-47780,CVE-2022-47780,SQL Injection vulnerability in Bangresto 1.0 via the itemID parameter.,N/A,N/A,Update to latest version,https://github.com/nu11secur1ty/CVE-nu11secur1ty/tree/main/vendors/Bangresto
5,10.20.10.181,CVE-2010-0972,CVE-2010-0972,Directory traversal vulnerability in the GCalendar (com_gcalendar) component 2.1.5 for Joomla! allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the control...,N/A,N/A,Update to latest version,http://secunia.com/advisories/38925
6,10.10.10.98,CVE-2024-31937,WordPress TWIPLA (Visitor Analytics IO) plugin <= 1.2.0 - Cross-Site Scripting (XSS) vulnerability,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Visitor Analytics TWIPLA (Visitor Analytics IO) allows Stored XSS.This issue affects TWIPLA (Vi...,5.9,MEDIUM,Update to latest version,https://patchstack.com/database/vulnerability/visitor-analytics-io/wordpress-twipla-visitor-analytics-io-plugin-1-2-0-cross-site-scripting-xss-vulnerability?_s_id=cve
7,172.16.41.246,CVE-2019-1000014,CVE-2019-1000014,"Erlang/OTP Rebar3 version 3.7.0 through 3.7.5 contains a Signing oracle vulnerability in Package registry verification that can result in Package modifications not detected, allowing code execution...",N/A,N/A,Update to latest version,https://github.com/erlang/rebar3/pull/1986
8,172.16.41.47,CVE-2018-19023,CVE-2018-19023,"Hetronic Nova-M prior to verson r161 uses fixed codes that are reproducible by sniffing and re-transmission. This can lead to unauthorized replay of a command, spoofing of an arbitrary message, or ...",N/A,N/A,Update to latest version,https://ics-cert.us-cert.gov/advisories/ICSA-19-003-03
9,10.20.10.204,CVE-2013-3814,CVE-2013-3814,"Unspecified vulnerability in the Oracle Retail Invoice Matching component in Oracle Industry Applications 10.2, 11.0, 12.0, 12.0IN, 12.1, 13.0, 13.1, and 13.2 allows remote authenticated users to a...",N/A,N/A,Update to latest version,http://www.oracle.com/technetwork/topics/security/cpuoct2013-1899837.html
10,10.10.10.120,CVE-2025-29770,vLLM denial of service via outlines unbounded cache on disk,vLLM is a high-throughput and memory-efficient inference and serving engine for LLMs. The outlines library is one of the backends used by vLLM to support structured output (a.k.a. guided decoding)....,6.5,MEDIUM,Update to latest version,https://github.com/vllm-project/vllm/security/advisories/GHSA-mgrm-fgjv-mhv8
11,10.10.10.57,CVE-2024-3700,Hardcoded password in Estomed Sp. z o.o. Simple Care software,"Use of hard-coded password to the patients' database allows an attacker to retrieve sensitive data stored in the database. The password is the same among all Simple Care software installations.

Th...",N/A,N/A,Update to latest version,https://cert.pl/en/posts/2024/06/CVE-2024-1228/
12,10.20.10.35,CVE-2022-28183,CVE-2022-28183,"NVIDIA GPU Display Driver for Windows and Linux contains a vulnerability in the kernel mode layer, where an unprivileged regular user can cause an out-of-bounds read, which may lead to denial of se...",7.7,HIGH,Update to latest version,https://nvidia.custhelp.com/app/answers/detail/a_id/5353
13,172.16.41.244,CVE-2022-20398,CVE-2022-20398,"In addOrUpdateNetwork of WifiServiceImpl.java, there is a possible way for a guest user to configure Wi-Fi due to a permissions bypass. This could lead to local escalation of privilege with User ex...",N/A,N/A,Update to latest version,https://source.android.com/security/bulletin/2022-09-01
14,10.10.10.151,CVE-2021-44167,CVE-2021-44167,"An incorrect permission assignment for critical resource vulnerability [CWE-732] in FortiClient for Linux version 6.0.8 and below, 6.2.9 and below, 6.4.7 and below, 7.0.2 and below may allow an una...",6.8,MEDIUM,Update to latest version,https://fortiguard.com/psirt/FG-IR-21-232
15,10.10.10.177,CVE-2019-12353,CVE-2019-12353,An issue was discovered in zzcms 2019. There is a SQL injection Vulnerability in /admin/dl_sendmail.php (when the attacker has admin authority) via the id parameter.,N/A,N/A,Update to latest version,https://github.com/cby234/zzcms/issues/5
16,10.10.10.44,CVE-2023-49983,CVE-2023-49983,A cross-site scripting (XSS) vulnerability in the component /management/class of School Fees Management System v1.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload i...,N/A,N/A,Update to latest version,https://www.sourcecodester.com/php/15697/school-fees-management-system-project-php-and-codeigniter-free-source-code.html
17,172.16.41.127,CVE-2017-3233,CVE-2017-3233,"Vulnerability in the Automatic Service Request (ASR) component of Oracle Support Tools (subcomponent: ASR Manager). The supported version that is affected is Prior to 5.7. Easily ""exploitable"" vuln...",N/A,N/A,Update to latest version,http://www.oracle.com/technetwork/security-advisory/cpuapr2017-3236618.html
18,172.16.41.29,CVE-2005-0468,CVE-2005-0468,Heap-based buffer overflow in the env_opt_add function in telnet.c for various BSD-based Telnet clients allows remote attackers to execute arbitrary code via responses that contain a large number o...,N/A,N/A,Update to latest version,http://www.debian.de/security/2005/dsa-731
19,10.10.10.165,CVE-2021-42363,Preview E-Mails for WooCommerce <= 1.6.8 Reflected Cross-Site Scripting,The Preview E-Mails for WooCommerce WordPress plugin is vulnerable to Reflected Cross-Site Scripting via the search_order parameter found in the ~/views/form.php file which allows attackers to inje...,6.1,MEDIUM,Update to latest version,https://plugins.trac.wordpress.org/changeset/2625941/woo-preview-emails/trunk/views/form.php
20,10.20.10.3,CVE-2024-37825,CVE-2024-37825,An issue in EnvisionWare Computer Access & Reservation Control SelfCheck v1.0 (fixed in OneStop 3.2.0.27184 Hotfix May 2024) allows unauthenticated attackers on the same network to perform a direct...,N/A,N/A,Update to latest version,https://www.envisionware.com/?lang=au
21,10.10.10.239,CVE-2011-2301,CVE-2011-2301,"Unspecified vulnerability in the Oracle Text component in Oracle Database Server 10.1.0.5, 10.2.0.3, 10.2.0.4, and 11.1.0.7 allows remote authenticated users to affect confidentiality, integrity, a...",N/A,N/A,Update to latest version,http://www.oracle.com/technetwork/topics/security/cpuoct2011-330135.html
22,10.10.10.68,CVE-2016-9259,CVE-2016-9259,Cross-site scripting (XSS) vulnerability in Tenable Nessus before 6.9.1 allows remote authenticated users to inject arbitrary web script or HTML via unspecified vectors.,N/A,N/A,Update to latest version,https://www.tenable.com/security/tns-2016-17
23,172.16.41.96,CVE-2014-4595,CVE-2014-4595,Multiple cross-site scripting (XSS) vulnerabilities in the WP RESTful plugin 0.1 and earlier for WordPress allow remote attackers to inject arbitrary web script or HTML via the (1) oauth_callback p...,N/A,N/A,Update to latest version,http://codevigilant.com/disclosure/wp-plugin-wp-restful-a3-cross-site-scripting-xss
24,10.20.10.119,CVE-2024-31164,NULL Pointer Dereference in libfluid_msg library,Unchecked Return Value to NULL Pointer Dereference vulnerability in Open Networking Foundation (ONF) libfluid (libfluid_msg module). This vulnerability is associated with program routines fluid_msg...,5.3,MEDIUM,"Until a software patch which fixes this issue is not released, it is highly recommended to not exposed the vulnerable component inside an untrusted...",https://www.nozominetworks.com/labs/vulnerability-advisories-cve-2024-31164
25,172.16.41.23,CVE-2017-3622,CVE-2017-3622,"Vulnerability in the Solaris component of Oracle Sun Systems Products Suite (subcomponent: Common Desktop Environment (CDE)). The supported version that is affected is 10. Easily ""exploitable"" vuln...",N/A,N/A,Update to latest version,http://www.oracle.com/technetwork/security-advisory/cpuapr2017-3236618.html
26,172.16.41.124,CVE-2024-26169,Windows Error Reporting Service Elevation of Privilege Vulnerability,Windows Error Reporting Service Elevation of Privilege Vulnerability,7.8,HIGH,Update to latest version,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-26169
27,10.20.10.183,CVE-2021-27677,CVE-2021-27677,Cross-site scripting (XSS) vulnerability in Galleries in Batflat CMS 1.3.6 allows remote attackers to inject arbitrary web script or HTML via the field name.,N/A,N/A,Update to latest version,https://github.com/sruupl/batflat/issues/105
28,172.16.41.30,CVE-2024-23613,Symantec Deployment Solution Remote Code Execution,"A buffer overflow vulnerability exists in Symantec Deployment Solution version 7.9 when parsing UpdateComputer tokens. A remote, anonymous attacker can exploit this vulnerability to achieve remote ...",10,CRITICAL,Update to latest version,https://blog.exodusintel.com/2024/01/25/symantec-deployment-solution-axengine-exe-buffer-overflow-remote-code-execution
29,172.16.41.129,CVE-2011-5293,CVE-2011-5293,The cmdSave method in the ThreeDify.ThreeDifyDesigner.1 ActiveX control in ActiveSolid.dll in ThreeDify Designer 5.0.2 allows remote attackers to write to arbitrary files via a pathname in the argu...,N/A,N/A,Update to latest version,https://www.htbridge.com/advisory/HTB23020
30,10.20.10.46,CVE-2024-51920,WordPress Map Store Locator plugin <= 1.2.1 - Cross Site Scripting (XSS) vulnerability,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in JDev Map Store Locator allows DOM-Based XSS.This issue affects Map Store Locator: from n/a thro...,6.5,MEDIUM,Update to latest version,https://patchstack.com/database/vulnerability/map-store-location/wordpress-map-store-locator-plugin-1-2-1-cross-site-scripting-xss-vulnerability?_s_id=cve
31,172.16.41.10,CVE-2023-34439,CVE-2023-34439,"Pleasanter 1.3.47.0 and earlier contains a stored cross-site scripting vulnerability. If this vulnerability is exploited, an arbitrary script may be executed on the user's web browser.",N/A,N/A,Update to latest version,https://pleasanter.org/archives/vulnerability-update-202311
32,10.20.10.212,CVE-2024-35775,WordPress Slider by Soliloquy plugin <= 2.7.6 - Broken Access Control to XSS vulnerability,"Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting'), Improper Authentication vulnerability in Soliloquy Team Slider by Soliloquy allows Cross-Site Scripting ...",5.9,MEDIUM,Update to latest version,https://patchstack.com/database/vulnerability/soliloquy-lite/wordpress-slider-by-soliloquy-plugin-2-7-6-broken-access-control-to-xss-vulnerability?_s_id=cve
33,10.10.10.12,CVE-2023-3344,Auto Location for WP Job Manager via Google < 1.1 - Admin+ Cross Site Scripting,"The Auto Location for WP Job Manager via Google WordPress plugin before 1.1 does not sanitise and escape some of its settings, which could allow high privilege users such as admin to perform Stored...",N/A,N/A,Update to latest version,https://wpscan.com/vulnerability/d27bc628-3de1-421e-8a67-150e9d7a96dd
34,172.16.41.60,CVE-2022-34917,Unauthenticated clients may cause OutOfMemoryError on Apache Kafka Brokers,A security vulnerability has been identified in Apache Kafka. It affects all releases since 2.8.0. The vulnerability allows malicious unauthenticated clients to allocate large amounts of memory on ...,N/A,N/A,Update to latest version,https://kafka.apache.org/cve-list
35,10.20.10.87,CVE-2008-5489,CVE-2008-5489,"SQL injection vulnerability in channel_detail.php in ClipShare Pro 4, and 2006 through 2007, allows remote attackers to execute arbitrary SQL commands via the chid parameter.",N/A,N/A,Update to latest version,http://secunia.com/advisories/32723
36,172.16.41.233,CVE-2020-9050,Metasys Reporting Engine (MRE) Web Services - Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Path Traversal vulnerability exists in Metasys Reporting Engine (MRE) Web Services which could allow a remote unauthenticated attacker to access and download arbitrary files from the system.,7.5,HIGH,Update to latest version,https://www.johnsoncontrols.com/cyber-solutions/security-advisories
37,10.20.10.2,CVE-2023-33492,CVE-2023-33492,EyouCMS 1.6.2 is vulnerable to Cross Site Scripting (XSS).,N/A,N/A,Update to latest version,https://github.com/weng-xianhu/eyoucms/issues/42
38,10.20.10.103,CVE-2023-33926,WordPress Easy Google Maps Plugin <= 1.11.7 is vulnerable to Cross Site Request Forgery (CSRF),Cross-Site Request Forgery (CSRF) vulnerability in Supsystic Easy Google Maps plugin <= 1.11.7 versions.,7.1,HIGH,Update to latest version,https://patchstack.com/database/vulnerability/google-maps-easy/wordpress-easy-google-maps-plugin-1-11-7-cross-site-request-forgery-csrf-vulnerability?_s_id=cve
39,172.16.41.69,CVE-2024-56069,WordPress WP SuperBackup plugin <= 2.3.3 - Reflected Cross Site Scripting (XSS) vulnerability,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Azzaroco WP SuperBackup allows Reflected XSS.This issue affects WP SuperBackup: from n/a throug...,7.1,HIGH,Update to latest version,https://patchstack.com/database/wordpress/plugin/indeed-wp-superbackup/vulnerability/wordpress-wp-superbackup-plugin-2-3-3-reflected-cross-site-scripting-xss-vulnerability?_s_id=cve
40,10.20.10.49,CVE-2022-0407,Heap-based Buffer Overflow in vim/vim,Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.,N/A,N/A,Update to latest version,https://huntr.dev/bounties/81822bf7-aafe-4d37-b836-1255d46e572c
41,10.10.10.73,CVE-2006-3990,CVE-2006-3990,"Multiple PHP remote file inclusion vulnerabilities in Paul M. Jones Savant2, possibly when used with the com_mtree component for Mambo and Joomla!, allow remote attackers to execute arbitrary PHP c...",N/A,N/A,Update to latest version,http://www.osvdb.org/28692
42,10.10.10.128,CVE-2011-1666,CVE-2011-1666,"Metaways Tine 2.0 allows remote attackers to obtain sensitive information via unknown vectors in (1) Crm/Controller.php, (2) Crm/Export/Csv.php, or (3) Calendar/Model/Attender.php, which reveal the...",N/A,N/A,Update to latest version,http://www.htbridge.ch/advisory/path_disclosure_in_tine_2_0.html
43,10.10.10.93,CVE-2007-3163,CVE-2007-3163,"Incomplete blacklist vulnerability in the filemanager in Frederico Caldeira Knabben FCKeditor 2.4.2 allows remote attackers to upload arbitrary .php files via an alternate data stream syntax, as de...",N/A,N/A,Update to latest version,https://exchange.xforce.ibmcloud.com/vulnerabilities/34982
44,10.20.10.124,CVE-2025-57203,CVE-2025-57203,MagicProject AI version 9.1 is affected by a Cross-Site Scripting (XSS) vulnerability within the chatbot generation feature available to authenticated admin users. The vulnerability resides in the ...,N/A,N/A,Update to latest version,https://codecanyon.net/item/magicai-openai-content-text-image-chat-code-generator-as-saas/45408109
45,10.20.10.155,CVE-2025-59089,Python-kdcproxy: remote dos via unbounded tcp upstream buffering,"If an attacker causes kdcproxy to connect to an attacker-controlled KDC server (e.g. through server-side request forgery), they can exploit the fact that kdcproxy does not enforce bounds on TCP res...",5.9,MEDIUM,Mitigation for this issue is either not available or the currently available options do not meet the Red Hat Product Security criteria comprising e...,https://access.redhat.com/errata/RHSA-2025:21138
46,10.10.10.234,CVE-2006-6898,CVE-2006-6898,"Widcomm Bluetooth for Windows (BTW) before 4.0.1.1500 allows remote attackers to listen to and record conversations, aka the CarWhisperer attack.",N/A,N/A,Update to latest version,http://events.ccc.de/congress/2006-mediawiki//images/f/fb/23c3_Bluetooh_revisited.pdf
47,10.10.10.15,CVE-2014-6653,CVE-2014-6653,"The Afghan Radio (aka com.wordbox.afghanRadio) application 2.5 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain ...",N/A,N/A,Update to latest version,http://www.kb.cert.org/vuls/id/222577
48,10.20.10.229,CVE-2024-7107,Directory Traversal in National Keep's CyberMath,Files or Directories Accessible to External Parties vulnerability in National Keep Cyber Security Services CyberMath allows Collect Data from Common Resource Locations.This issue affects CyberMath:...,N/A,N/A,Update to latest version,https://www.usom.gov.tr/bildirim/tr-24-1549
49,172.16.41.31,CVE-2024-47590,Cross-Site Scripting (XSS) vulnerability in SAP Web Dispatcher,"An unauthenticated attacker can create a malicious link which they can make publicly available. When an authenticated victim clicks on this malicious link, input data will be used by the web site p...",8.8,HIGH,Update to latest version,https://me.sap.com/notes/3520281
50,172.16.41.22,CVE-2014-7135,CVE-2014-7135,"The Ayuntamiento de Coana (aka com.wInfoCoa) application 0.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain se...",N/A,N/A,Update to latest version,http://www.kb.cert.org/vuls/id/732273
51,10.20.10.135,CVE-2024-4146,Incorrect Authorization in lunary-ai/lunary,"In lunary-ai/lunary version v1.2.13, an incorrect authorization vulnerability exists that allows unauthorized users to access and manipulate projects within an organization they should not have acc...",9.8,CRITICAL,Update to latest version,https://huntr.com/bounties/a749e696-b398-4260-b2d0-b0054b9fffa7
52,172.16.41.185,CVE-2018-20640,CVE-2018-20640,PHP Scripts Mall Entrepreneur Job Portal Script 3.0.1 has stored Cross-Site Scripting (XSS) via the Full Name field.,N/A,N/A,Update to latest version,https://gkaim.com/cve-2018-20640-vikas-chaudhary/
53,172.16.41.226,CVE-2006-6015,CVE-2006-6015,Buffer overflow in the JavaScript implementation in Safari on Apple Mac OS X 10.4 allows remote attackers to cause a denial of service (application crash) via a long argument to the exec method of ...,N/A,N/A,Update to latest version,http://www.securityfocus.com/bid/21053
54,10.20.10.59,CVE-2013-6237,CVE-2013-6237,The ISL Desktop plugin for Windows before 1.4.7 for ISL Light 3.5.4 and earlier allows remote authenticated users to obtain sensitive information by pasting the clipboard contents that have been co...,N/A,N/A,Update to latest version,http://packetstormsecurity.com/files/124274/ISL-Light-Desktop-3.5.4-Information-Disclosure.html
55,10.20.10.246,CVE-2024-30440,WordPress Themify Event Post plugin <= 1.2.7 - Cross Site Scripting (XSS) vulnerability,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Themify Themify Event Post allows Stored XSS.This issue affects Themify Event Post: from n/a th...,5.9,MEDIUM,Update to latest version,https://patchstack.com/database/vulnerability/themify-event-post/wordpress-themify-event-post-plugin-1-2-7-cross-site-scripting-xss-vulnerability?_s_id=cve
56,10.10.10.117,CVE-2011-4311,CVE-2011-4311,"ResourceSpace before 4.2.2833 does not properly validate access keys, which allows remote attackers to bypass intended resource restrictions via unspecified vectors.",N/A,N/A,Update to latest version,http://openwall.com/lists/oss-security/2011/11/14/3
57,10.20.10.174,CVE-2023-29538,CVE-2023-29538,Under specific circumstances a WebExtension may have received a <code>jar:file:///</code> URI instead of a <code>moz-extension:///</code> URI during a load request. This leaked directory paths on t...,N/A,N/A,Update to latest version,https://www.mozilla.org/security/advisories/mfsa2023-13/
58,10.10.10.217,CVE-2022-24280,Apache Pulsar Proxy target broker address isn't validated,Improper Input Validation vulnerability in Proxy component of Apache Pulsar allows an attacker to make TCP/IP connection attempts that originate from the Pulsar Proxy's IP address. When the Apache ...,N/A,N/A,"To address the issue, upgraded versions of Apache Pulsar Proxy will only allow connections to known broker ports 6650 and 6651 by default. In addit...",https://lists.apache.org/thread/ghs9jtjfbpy4c6xcftyvkl6swznlom1v
59,10.20.10.82,CVE-2012-4305,CVE-2012-4305,"Unspecified vulnerability in the JavaFX component in Oracle Java SE JavaFX 2.2.4 and earlier allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors, a di...",N/A,N/A,Update to latest version,http://www.verisigninc.com/en_US/products-and-services/network-intelligence-availability/idefense/public-vulnerability-reports/articles/index.xhtml?id=1030
60,10.10.10.199,CVE-2022-30158,Microsoft SharePoint Server Remote Code Execution Vulnerability,Microsoft SharePoint Server Remote Code Execution Vulnerability,8.8,HIGH,Update to latest version,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-30158
61,10.20.10.56,CVE-2018-10601,CVE-2018-10601,"IntelliVue Patient Monitors MP Series (including MP2/X2/MP30/MP50/MP70/NP90/MX700/800) Rev B-M, IntelliVue Patient Monitors MX (MX400-550) Rev J-M and (X3/MX100 for Rev M only), and Avalon Fetal/Ma...",N/A,N/A,Update to latest version,https://ics-cert.us-cert.gov/advisories/ICSMA-18-156-01
62,172.16.41.28,CVE-2021-31580,Akkadian Provisioning Manager Engine (PME) Shell Escape via 'exec' command,The restricted shell provided by Akkadian Provisioning Manager Engine (PME) can be bypassed by switching the OpenSSH channel from `shell` to `exec` and providing the ssh client a single execution p...,8.7,HIGH,Update to latest version,https://www.rapid7.com/blog/post/2021/06/08/akkadian-provisioning-manager-multiple-vulnerabilities-disclosure/
