Plugin ID,CVE,CVSS v3.0 Base Score,Risk,Host,Port,Protocol,Name,Synopsis,Description,Solution,See Also,Plugin Output,Scan Date,Scan Completion Date,Severity,Asset UUID,Authentication
714288,CVE-2024-30280,7.8,HIGH,new.example.com,3000,tcp,ZDI-CAN-22867: Adobe Acrobat Pro DC AcroForm Annotation Out-Of-Bounds Read Remote Code Execution Vulnerability,"Acrobat Reader versions 20.005.30574, 24.002.20736 and earlier are affected by an out-of-bounds read vulnerability when parsing a crafted file, which could result in a read past the end of an alloc...","Acrobat Reader versions 20.005.30574, 24.002.20736 and earlier are affected by an out-of-bounds read vulnerability when parsing a crafted file, which could result in a read past the end of an alloc...",Update to latest version,https://helpx.adobe.com/security/products/acrobat/apsb24-29.html,The web service on new.example.com:3000 has the following issue: ZDI-CAN-22867: Adobe Acrobat Pro DC AcroForm Annotation Out-Of-Bounds Read Remote Code Execution Vulnerability,2025-11-17 09:53:31,2025-11-17 09:53:31,HIGH,,Unauthenticated
400475,CVE-2018-10268,N/A,N/A,example.com,8008,tcp,CVE-2018-10268,An issue was discovered in FastAdmin V1.0.0.20180417_beta. There is XSS via the application\api\controller\User.php avatar parameter.,An issue was discovered in FastAdmin V1.0.0.20180417_beta. There is XSS via the application\api\controller\User.php avatar parameter.,Update to latest version,https://gitee.com/karson/fastadmin/issues/IJ7YZ,The web service on example.com:8008 has the following issue: CVE-2018-10268,2025-11-18 01:53:31,2025-11-18 01:53:31,N/A,,Unauthenticated
856579,CVE-2008-0289,N/A,N/A,beta.example.com,80,tcp,CVE-2008-0289,PHP remote file inclusion vulnerability in view_func.php in Member Area System (MAS) 1.7 and possibly others allows remote attackers to execute arbitrary PHP code via a URL in the i parameter.  NOT...,PHP remote file inclusion vulnerability in view_func.php in Member Area System (MAS) 1.7 and possibly others allows remote attackers to execute arbitrary PHP code via a URL in the i parameter.  NOT...,Update to latest version,http://securityreason.com/securityalert/3547,The web service on beta.example.com:80 has the following issue: CVE-2008-0289,2025-11-16 14:53:31,2025-11-16 14:53:31,N/A,,Unauthenticated
515845,CVE-2025-1044,N/A,N/A,teams.example.com,443,tcp,Logsign Unified SecOps Platform Authentication Bypass Vulnerability,Logsign Unified SecOps Platform Authentication Bypass Vulnerability. This vulnerability allows remote attackers to bypass authentication on affected installations of Logsign Unified SecOps Platform...,Logsign Unified SecOps Platform Authentication Bypass Vulnerability. This vulnerability allows remote attackers to bypass authentication on affected installations of Logsign Unified SecOps Platform...,Update to latest version,https://www.zerodayinitiative.com/advisories/ZDI-25-085/,The web service on teams.example.com:443 has the following issue: Logsign Unified SecOps Platform Authentication Bypass Vulnerability,2025-11-17 06:53:31,2025-11-17 06:53:31,N/A,,Unauthenticated
26691,CVE-2011-3650,N/A,N/A,old.example.com,443,tcp,CVE-2011-3650,"Mozilla Firefox before 3.6.24 and 4.x through 7.0 and Thunderbird before 3.1.6 and 5.0 through 7.0 do not properly handle JavaScript files that contain many functions, which allows user-assisted re...","Mozilla Firefox before 3.6.24 and 4.x through 7.0 and Thunderbird before 3.1.6 and 5.0 through 7.0 do not properly handle JavaScript files that contain many functions, which allows user-assisted re...",Update to latest version,http://www.mozilla.org/security/announce/2011/mfsa2011-49.html,The web service on old.example.com:443 has the following issue: CVE-2011-3650,2025-11-17 06:53:31,2025-11-17 06:53:31,N/A,,Unauthenticated
706962,CVE-2022-36759,N/A,N/A,internal.example.com,8443,tcp,CVE-2022-36759,Online Food Ordering System v1.0 was discovered to contain a SQL injection vulnerability via the component /dishes.php?res_id=.,Online Food Ordering System v1.0 was discovered to contain a SQL injection vulnerability via the component /dishes.php?res_id=.,Update to latest version,https://hackmd.io/%40hieuleuxuan/OFOS_Sql_Injection,The web service on internal.example.com:8443 has the following issue: CVE-2022-36759,2025-11-20 17:53:31,2025-11-20 17:53:31,N/A,,Unauthenticated
791441,CVE-2025-31747,6.5,MEDIUM,example.com,9000,tcp,WordPress WP Chrono plugin <= 1.5.4 - Cross Site Scripting (XSS) vulnerability,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in milan.latinovic WP Chrono allows DOM-Based XSS. This issue affects WP Chrono: from n/a through ...,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in milan.latinovic WP Chrono allows DOM-Based XSS. This issue affects WP Chrono: from n/a through ...,Update to latest version,https://patchstack.com/database/wordpress/plugin/wp-chrono/vulnerability/wordpress-wp-chrono-plugin-1-5-4-cross-site-scripting-xss-vulnerability?_s_id=cve,The web service on example.com:9000 has the following issue: WordPress WP Chrono plugin <= 1.5.4 - Cross Site Scripting (XSS) vulnerability,2025-11-21 12:53:31,2025-11-21 12:53:31,MEDIUM,,Unauthenticated
869102,CVE-2018-19922,N/A,N/A,docker.example.com,8000,tcp,CVE-2018-19922,Persistent Cross-Site Scripting (XSS) in the advancedsetup_websiteblocking.html Website Blocking page of the Actiontec C1000A router with firmware through CAC004-31.30L.95 allows a remote attacker ...,Persistent Cross-Site Scripting (XSS) in the advancedsetup_websiteblocking.html Website Blocking page of the Actiontec C1000A router with firmware through CAC004-31.30L.95 allows a remote attacker ...,Update to latest version,https://github.com/logern5/c1000a_xss/blob/master/README.md,The web service on docker.example.com:8000 has the following issue: CVE-2018-19922,2025-11-15 03:53:31,2025-11-15 03:53:31,N/A,,Unauthenticated
607561,CVE-2012-1239,N/A,N/A,ftp.example.com,3000,tcp,CVE-2012-1239,"The TopAccess web-based management interface on TOSHIBA TEC e-Studio multi-function peripheral (MFP) devices with firmware 30x through 302, 35x through 354, and 4xx through 421 allows remote attack...","The TopAccess web-based management interface on TOSHIBA TEC e-Studio multi-function peripheral (MFP) devices with firmware 30x through 302, 35x through 354, and 4xx through 421 allows remote attack...",Update to latest version,http://jvn.jp/en/jp/JVN92830293/index.html,The web service on ftp.example.com:3000 has the following issue: CVE-2012-1239,2025-11-20 01:53:31,2025-11-20 01:53:31,N/A,,Unauthenticated
215,CVE-2022-24740,5,MEDIUM,mail.example.com,8000,tcp,Improper Authentication in Volto,"Volto is a ReactJS-based frontend for the Plone Content Management System. Between versions 14.0.0-alpha.5 and 15.0.0-alpha.0, a user could have their authentication cookie replaced with an authent...","Volto is a ReactJS-based frontend for the Plone Content Management System. Between versions 14.0.0-alpha.5 and 15.0.0-alpha.0, a user could have their authentication cookie replaced with an authent...",Update to latest version,https://github.com/plone/volto/security/advisories/GHSA-cfhh-xgwq-5r67,The web service on mail.example.com:8000 has the following issue: Improper Authentication in Volto,2025-11-17 08:53:31,2025-11-17 08:53:31,MEDIUM,,Unauthenticated
